# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.1.0 Build 186 12/03/2014 SJ Full Version
# File: C:\Users\dennyly\Documents\GitHub\EE_371\Project_1\00_top_level\generic_counter_pins.csv
# Generated on: Sat Jan 09 16:14:43 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
LED[9],Output,PIN_Y21,5A,B5A_N0,PIN_Y21,,,,,,,,,,,,,,
LED[8],Output,PIN_W21,5A,B5A_N0,PIN_W21,,,,,,,,,,,,,,
LED[7],Output,PIN_W20,5A,B5A_N0,PIN_W20,,,,,,,,,,,,,,
LED[6],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,,,,,,,,,,,,,,
LED[5],Output,PIN_W19,4A,B4A_N0,PIN_W19,,,,,,,,,,,,,,
LED[4],Output,PIN_W17,4A,B4A_N0,PIN_W17,,,,,,,,,,,,,,
LED[3],Output,PIN_V18,4A,B4A_N0,PIN_V18,,,,,,,,,,,,,,
LED[2],Output,PIN_V17,4A,B4A_N0,PIN_V17,,,,,,,,,,,,,,
LED[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,,,,,,,,,,,,,,
LED[0],Output,PIN_V16,4A,B4A_N0,PIN_V16,,,,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,PIN_AE12,,,,,,,,,,,,,,
SW[8],Input,PIN_AD10,3A,B3A_N0,PIN_AD10,,,,,,,,,,,,,,
SW[7],Input,PIN_AC9,3A,B3A_N0,PIN_AC9,,,,,,,,,,,,,,
SW[6],Input,PIN_AE11,3A,B3A_N0,PIN_AE11,,,,,,,,,,,,,,
SW[5],Input,PIN_AD12,3A,B3A_N0,PIN_AD12,,,,,,,,,,,,,,
SW[4],Input,PIN_AD11,3A,B3A_N0,PIN_AD11,,,,,,,,,,,,,,
SW[3],Input,PIN_AF10,3A,B3A_N0,PIN_AF10,,,,,,,,,,,,,,
SW[2],Input,PIN_AF9,3A,B3A_N0,PIN_AF9,,,,,,,,,,,,,,
SW[1],Input,PIN_AC12,3A,B3A_N0,PIN_AC12,,,,,,,,,,,,,,
SW[0],Input,PIN_AB12,3A,B3A_N0,PIN_AB12,,,,,,,,,,,,,,
init_clk,Input,PIN_AF14,3B,B3B_N0,PIN_AF14,,,,,,,,,,,,,,
